"Year","Province","Normalization","Measure","Value"
1975,"Ontario","Share of GDP (%)","Adjusted Balance",0.0460373357320338
1976,"Ontario","Share of GDP (%)","Adjusted Balance",0.0438947796348737
1977,"Ontario","Share of GDP (%)","Adjusted Balance",0.0469747944348272
1978,"Ontario","Share of GDP (%)","Adjusted Balance",0.0524255042185945
1979,"Ontario","Share of GDP (%)","Adjusted Balance",0.049315666989499
1980,"Ontario","Share of GDP (%)","Adjusted Balance",0.0512076007941596
1981,"Ontario","Share of GDP (%)","Adjusted Balance",0.0433491567456309
1982,"Ontario","Share of GDP (%)","Adjusted Balance",0.0454772501773445
1983,"Ontario","Share of GDP (%)","Adjusted Balance",0.046225212927047
1984,"Ontario","Share of GDP (%)","Adjusted Balance",0.0501339633474233
1985,"Ontario","Share of GDP (%)","Adjusted Balance",0.0517831458240032
1986,"Ontario","Share of GDP (%)","Adjusted Balance",0.0618345678952817
1987,"Ontario","Share of GDP (%)","Adjusted Balance",0.0612610628824175
1988,"Ontario","Share of GDP (%)","Adjusted Balance",0.0621851995418182
1989,"Ontario","Share of GDP (%)","Adjusted Balance",0.059381739061774
1990,"Ontario","Share of GDP (%)","Adjusted Balance",0.0552667975837425
1991,"Ontario","Share of GDP (%)","Adjusted Balance",0.0470023474807039
1992,"Ontario","Share of GDP (%)","Adjusted Balance",0.0451718434470445
1993,"Ontario","Share of GDP (%)","Adjusted Balance",0.0381013273495812
1994,"Ontario","Share of GDP (%)","Adjusted Balance",0.0358629758192549
1995,"Ontario","Share of GDP (%)","Adjusted Balance",0.0371254734718208
1996,"Ontario","Share of GDP (%)","Adjusted Balance",0.0367198353114955
1997,"Ontario","Share of GDP (%)","Adjusted Balance",0.0389411458764682
1998,"Ontario","Share of GDP (%)","Adjusted Balance",0.042613672793901
1999,"Ontario","Share of GDP (%)","Adjusted Balance",0.0470854724556721
2000,"Ontario","Share of GDP (%)","Adjusted Balance",0.045390793118208
2001,"Ontario","Share of GDP (%)","Adjusted Balance",0.0433410286253329
2002,"Ontario","Share of GDP (%)","Adjusted Balance",0.0364525239930851
2003,"Ontario","Share of GDP (%)","Adjusted Balance",0.0348456250583292
2004,"Ontario","Share of GDP (%)","Adjusted Balance",0.03340416189028
2005,"Ontario","Share of GDP (%)","Adjusted Balance",0.0350011666147629
2006,"Ontario","Share of GDP (%)","Adjusted Balance",0.026768414405787
2007,"Ontario","Share of GDP (%)","Adjusted Balance",0.0188505559452106
2008,"Ontario","Share of GDP (%)","Adjusted Balance",0.0145381292999366
2009,"Ontario","Share of GDP (%)","Adjusted Balance",0.0109754317476709
2010,"Ontario","Share of GDP (%)","Adjusted Balance",0.00644449261041214
2011,"Ontario","Share of GDP (%)","Adjusted Balance",0.0102113575545841
2012,"Ontario","Share of GDP (%)","Adjusted Balance",0.00889684853408146
2013,"Ontario","Share of GDP (%)","Adjusted Balance",0.00655948303822868
2014,"Ontario","Share of GDP (%)","Adjusted Balance",0.0084261654679611
2015,"Ontario","Share of GDP (%)","Adjusted Balance",0.011805139719382
2016,"Ontario","Share of GDP (%)","Adjusted Balance",0.0180964141585712
2017,"Ontario","Share of GDP (%)","Adjusted Balance",0.0218676839524213
2018,"Ontario","Share of GDP (%)","Adjusted Balance",0.0210887867748599
2019,"Ontario","Share of GDP (%)","Adjusted Balance",0.0236878025291003
2020,"Ontario","Share of GDP (%)","Adjusted Balance",0.0266666015178913
2021,"Ontario","Share of GDP (%)","Adjusted Balance",0.0250780782356375
2022,"Ontario","Share of GDP (%)","Adjusted Balance",0.0266434597615094
1961,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.311694226774194
1962,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.344213415955204
1963,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.357913566136736
1964,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.365306885151646
1965,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.375090825646953
1966,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.355475510460289
1967,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.413674418098286
1968,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.39838917379871
1969,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.418892444342529
1970,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.398582315447656
1971,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.42174108915422
1972,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.433799293202889
1973,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.388368864255899
1974,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.424100250571391
1975,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.449226416042285
1976,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.440167027389314
1977,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.446948084124543
1978,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.443897863869331
1979,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.394843153095856
1980,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.399399304288626
1981,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.319137592906201
1982,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.335682470121862
1983,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.282315960726757
1984,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.337073744573594
1985,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.347979192183798
1986,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.29763754216669
1987,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.294455992724159
1988,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.298401373251562
1989,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.29838082977785
1990,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.31197816484649
1991,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.258871621411942
1992,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.249050870581592
1993,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.211190250915731
1994,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.225253075016139
1995,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.218873577472142
1996,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.192648717088574
1997,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.231625519259094
1998,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.225461692090749
1999,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.240107625129226
2000,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.226743988443018
2001,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.246316615196156
2002,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.204583794297157
2003,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.196504875938217
2004,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.185228303899122
2005,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.196720532383624
2006,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.196144263720467
2007,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.222409608061265
2008,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.23475186765146
2009,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.237306902646959
2010,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.222119207555889
2011,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.207503035293773
2012,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.195156764080229
2013,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.202861192291792
2014,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.195515136284415
2015,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.189787949809683
2016,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.189798973077972
2017,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.198491441996778
2018,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.201077972647459
2019,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.207366110301745
2020,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.205049419408769
2021,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.190323937582737
2022,"Prince Edward Island","Share of GDP (%)","Adjusted Balance",-0.199059182440029
1961,"Quebec","Share of GDP (%)","Adjusted Balance",0.0449457763553631
1962,"Quebec","Share of GDP (%)","Adjusted Balance",0.0400543986496448
1963,"Quebec","Share of GDP (%)","Adjusted Balance",0.0325540136079066
1964,"Quebec","Share of GDP (%)","Adjusted Balance",0.0244090870090168
1965,"Quebec","Share of GDP (%)","Adjusted Balance",0.0186008022414039
1966,"Quebec","Share of GDP (%)","Adjusted Balance",0.00984175446628352
1967,"Quebec","Share of GDP (%)","Adjusted Balance",0.0035540388396436
1968,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0005715755527385
1969,"Quebec","Share of GDP (%)","Adjusted Balance",-0.00593068237560906
1970,"Quebec","Share of GDP (%)","Adjusted Balance",-0.00592983422864475
1971,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0134188308903298
1972,"Quebec","Share of GDP (%)","Adjusted Balance",-0.018375626766567
1973,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0226373349103064
1974,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0478050531637213
1975,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0511901991884002
1976,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0361082177726137
1977,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0360967637752966
1978,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0395848816070285
1979,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0413322868546638
1980,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0444199447370323
1981,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0634458201812173
1982,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0633885275361426
1983,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0505091019320699
1984,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0428436638922752
1985,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0392245623011412
1986,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0264742862513935
1987,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0233696115063501
1988,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0241872809938042
1989,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0286240129014817
1990,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0274526586220043
1991,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0257303750189899
1992,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0256661036022741
1993,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0279497355296741
1994,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0256581477564012
1995,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0318628582902143
1996,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0272378947265264
1997,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0279897123747299
1998,"Quebec","Share of GDP (%)","Adjusted Balance",-0.033050397387753
1999,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0310249095400829
2000,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0321508362992313
2001,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0338882461882909
2002,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0299626495903012
2003,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0259051757703599
2004,"Quebec","Share of GDP (%)","Adjusted Balance",-0.023929527827999
2005,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0272807660066809
2006,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0419095398668311
2007,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0480279576502879
2008,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0516268802529599
2009,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0416678964060775
2010,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0339892886468447
2011,"Quebec","Share of GDP (%)","Adjusted Balance",-0.038340894713919
2012,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0392360714417706
2013,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0425422047454182
2014,"Quebec","Share of GDP (%)","Adjusted Balance",-0.049922409276238
2015,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0489499417647753
2016,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0433548277873999
2017,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0446574956057803
2018,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0462788639211514
2019,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0415776667812704
2020,"Quebec","Share of GDP (%)","Adjusted Balance",-0.03792894451379
2021,"Quebec","Share of GDP (%)","Adjusted Balance",-0.0378774026568285
2022,"Quebec","Share of GDP (%)","Adjusted Balance",-0.041527194623422
1961,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.112543054200765
1962,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0996345531758641
1963,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0704155119537346
1964,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0791372718125629
1965,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0798510766422405
1966,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0748071744171493
1967,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0756021835565744
1968,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0842164465721682
1969,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.104398521991422
1970,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.122381733760081
1971,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.116566385430844
1972,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.127486171018496
1973,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.10428251975831
1974,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0466732583984355
1975,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0307739920395735
1976,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0212405542270308
1977,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0228844462385503
1978,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0394402452729256
1979,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0306263932389843
1980,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.000763782617971638
1981,"Saskatchewan","Share of GDP (%)","Adjusted Balance",0.015525055266856
1982,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.006726283365743
1983,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0265428198698655
1984,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.051808962362246
1985,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0680946480138091
1986,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.115089394287509
1987,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.134322024994425
1988,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.128716451125656
1989,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.105305375058247
1990,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.107225582293065
1991,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.106280757719572
1992,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.103305343834704
1993,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0833787499591925
1994,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0731483658966967
1995,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0537999268846293
1996,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.059099399060846
1997,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0617308695590099
1998,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0660450975933066
1999,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0827169590541973
2000,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0815079954278495
2001,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0789632008487949
2002,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0609350259175677
2003,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0669313827157736
2004,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0822005869694206
2005,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0624548262013542
2006,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0596735247121942
2007,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0380031586479064
2008,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0144962239957473
2009,"Saskatchewan","Share of GDP (%)","Adjusted Balance",0.00299958564955835
2010,"Saskatchewan","Share of GDP (%)","Adjusted Balance",0.00585254960563562
2011,"Saskatchewan","Share of GDP (%)","Adjusted Balance",0.00567041833516589
2012,"Saskatchewan","Share of GDP (%)","Adjusted Balance",0.00679285229098255
2013,"Saskatchewan","Share of GDP (%)","Adjusted Balance",0.0126363571810019
2014,"Saskatchewan","Share of GDP (%)","Adjusted Balance",0.0140875685063355
2015,"Saskatchewan","Share of GDP (%)","Adjusted Balance",0.0109655518481918
2016,"Saskatchewan","Share of GDP (%)","Adjusted Balance",0.00359138500794986
2017,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0047609308393631
2018,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.00498120646993715
2019,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0151846766892571
2020,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.017079291703271
2021,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0100462860857123
2022,"Saskatchewan","Share of GDP (%)","Adjusted Balance",-0.0137279976165541
1961,"Territories","Share of GDP (%)","Adjusted Balance",-0.410487171534733
1962,"Territories","Share of GDP (%)","Adjusted Balance",-0.453446159262417
1963,"Territories","Share of GDP (%)","Adjusted Balance",-0.450648597342333
1964,"Territories","Share of GDP (%)","Adjusted Balance",-0.522118250203632
1965,"Territories","Share of GDP (%)","Adjusted Balance",-0.345610812961926
1966,"Territories","Share of GDP (%)","Adjusted Balance",-0.302385886774966
1967,"Territories","Share of GDP (%)","Adjusted Balance",-0.295954793247408
1968,"Territories","Share of GDP (%)","Adjusted Balance",-0.263769118180396
1969,"Territories","Share of GDP (%)","Adjusted Balance",-0.248428778410829
1970,"Territories","Share of GDP (%)","Adjusted Balance",-0.198165119292923
1971,"Territories","Share of GDP (%)","Adjusted Balance",-0.222107275026295
1972,"Territories","Share of GDP (%)","Adjusted Balance",-0.263439524053445
1973,"Territories","Share of GDP (%)","Adjusted Balance",-0.185829188118074
1974,"Territories","Share of GDP (%)","Adjusted Balance",-0.132808149162549
1975,"Territories","Share of GDP (%)","Adjusted Balance",-0.250169858425486
1976,"Territories","Share of GDP (%)","Adjusted Balance",-0.36135187084644
1977,"Territories","Share of GDP (%)","Adjusted Balance",-0.344282979574155
1978,"Territories","Share of GDP (%)","Adjusted Balance",-0.317045933359312
1979,"Territories","Share of GDP (%)","Adjusted Balance",-0.278928553959682
1980,"Territories","Share of GDP (%)","Adjusted Balance",-0.306138218300127
1981,"Territories","Share of GDP (%)","Adjusted Balance",-0.329577229484884
1982,"Territories","Share of GDP (%)","Adjusted Balance",-0.287114562942949
1983,"Territories","Share of GDP (%)","Adjusted Balance",-0.331673906614079
1984,"Territories","Share of GDP (%)","Adjusted Balance",-0.344625246421416
1985,"Territories","Share of GDP (%)","Adjusted Balance",-0.383299779707919
1986,"Territories","Share of GDP (%)","Adjusted Balance",-0.468650917803607
1987,"Territories","Share of GDP (%)","Adjusted Balance",-0.33679442259879
1988,"Territories","Share of GDP (%)","Adjusted Balance",-0.340636414706933
1989,"Territories","Share of GDP (%)","Adjusted Balance",-0.368888736215185
1990,"Territories","Share of GDP (%)","Adjusted Balance",-0.368640324083725
1991,"Territories","Share of GDP (%)","Adjusted Balance",-0.456252356120251
1992,"Territories","Share of GDP (%)","Adjusted Balance",-0.38085245887807
1993,"Territories","Share of GDP (%)","Adjusted Balance",-0.457871159183341
1994,"Territories","Share of GDP (%)","Adjusted Balance",-0.401287597045867
1995,"Territories","Share of GDP (%)","Adjusted Balance",-0.362303486689382
1996,"Territories","Share of GDP (%)","Adjusted Balance",-0.368539587165706
1997,"Territories","Share of GDP (%)","Adjusted Balance",-0.374128003156255
1998,"Territories","Share of GDP (%)","Adjusted Balance",-0.391118295736857
1999,"Territories","Share of GDP (%)","Adjusted Balance",-0.442973956546894
2000,"Territories","Share of GDP (%)","Adjusted Balance",-0.367572216417907
2001,"Territories","Share of GDP (%)","Adjusted Balance",-0.348213919127892
2002,"Territories","Share of GDP (%)","Adjusted Balance",-0.250402348476687
2003,"Territories","Share of GDP (%)","Adjusted Balance",-0.329391427746167
2004,"Territories","Share of GDP (%)","Adjusted Balance",-0.297359955034792
2005,"Territories","Share of GDP (%)","Adjusted Balance",-0.372197966101904
2006,"Territories","Share of GDP (%)","Adjusted Balance",-0.351334542624817
2007,"Territories","Share of GDP (%)","Adjusted Balance",-0.310684921052122
2008,"Territories","Share of GDP (%)","Adjusted Balance",-0.311951814787355
2009,"Territories","Share of GDP (%)","Adjusted Balance",-0.371092627093522
2010,"Territories","Share of GDP (%)","Adjusted Balance",-0.336177188387786
2011,"Territories","Share of GDP (%)","Adjusted Balance",-0.325092526533269
2012,"Territories","Share of GDP (%)","Adjusted Balance",-0.34860510508015
2013,"Territories","Share of GDP (%)","Adjusted Balance",-0.365948793833422
2014,"Territories","Share of GDP (%)","Adjusted Balance",-0.372530381591298
2015,"Territories","Share of GDP (%)","Adjusted Balance",-0.392289262870369
2016,"Territories","Share of GDP (%)","Adjusted Balance",-0.410818433237528
2017,"Territories","Share of GDP (%)","Adjusted Balance",-0.399777689360597
2018,"Territories","Share of GDP (%)","Adjusted Balance",-0.435383664220928
2019,"Territories","Share of GDP (%)","Adjusted Balance",-0.435766112446324
2020,"Territories","Share of GDP (%)","Adjusted Balance",-0.45858239158492
2021,"Territories","Share of GDP (%)","Adjusted Balance",-0.407024384701369
2022,"Territories","Share of GDP (%)","Adjusted Balance",-0.402816699780526
1961,"National Average","Per Capita ($)","Adjusted Balance",5.17691691666491e-15
1961,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",2.23005651794796e-14
1961,"National Average","Real Total ($ M 2020)","Adjusted Balance",7.38964445190504e-13
1961,"National Average","Share of GDP (%)","Adjusted Balance",4.55184327841192e-18
1961,"National Average","Total ($ M)","Adjusted Balance",1.27897692436818e-13
1962,"National Average","Per Capita ($)","Adjusted Balance",-4.53428109619253e-14
1962,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-4.5655520003042e-13
1962,"National Average","Real Total ($ M 2020)","Adjusted Balance",-8.78230821399484e-12
1962,"National Average","Share of GDP (%)","Adjusted Balance",-2.0932755495111e-17
1962,"National Average","Total ($ M)","Adjusted Balance",-8.56203996590921e-13
1963,"National Average","Per Capita ($)","Adjusted Balance",9.78363842869001e-15
1963,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",1.480974287637e-13
1963,"National Average","Real Total ($ M 2020)","Adjusted Balance",2.50111042987555e-12
1963,"National Average","Share of GDP (%)","Adjusted Balance",4.48877233675939e-18
1963,"National Average","Total ($ M)","Adjusted Balance",2.1316282072803e-13
1964,"National Average","Per Capita ($)","Adjusted Balance",3.08616378104837e-14
1964,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",2.49622763167069e-13
1964,"National Average","Real Total ($ M 2020)","Adjusted Balance",5.38946665074036e-12
1964,"National Average","Share of GDP (%)","Adjusted Balance",1.02529446633076e-17
1964,"National Average","Total ($ M)","Adjusted Balance",5.32907051820075e-13
1965,"National Average","Per Capita ($)","Adjusted Balance",7.21014195937477e-15
1965,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",8.9849461339901e-14
1965,"National Average","Real Total ($ M 2020)","Adjusted Balance",2.27373675443232e-13
1965,"National Average","Share of GDP (%)","Adjusted Balance",2.02109602060278e-18
1965,"National Average","Total ($ M)","Adjusted Balance",1.15463194561016e-13
1966,"National Average","Per Capita ($)","Adjusted Balance",-1.05248788313707e-14
1966,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-3.48409782003995e-14
1966,"National Average","Real Total ($ M 2020)","Adjusted Balance",-1.64845914696343e-12
1966,"National Average","Share of GDP (%)","Adjusted Balance",-2.55718891570418e-18
1966,"National Average","Total ($ M)","Adjusted Balance",-1.63424829224823e-13
1967,"National Average","Per Capita ($)","Adjusted Balance",4.34874989677826e-14
1967,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",3.42196713189109e-13
1967,"National Average","Real Total ($ M 2020)","Adjusted Balance",5.91171556152403e-12
1967,"National Average","Share of GDP (%)","Adjusted Balance",1.36501638922928e-17
1967,"National Average","Total ($ M)","Adjusted Balance",8.59756710269721e-13
1968,"National Average","Per Capita ($)","Adjusted Balance",4.86140252575814e-14
1968,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",3.97336293080015e-13
1968,"National Average","Real Total ($ M 2020)","Adjusted Balance",8.71125394041883e-12
1968,"National Average","Share of GDP (%)","Adjusted Balance",1.37593766490447e-17
1968,"National Average","Total ($ M)","Adjusted Balance",1.01074704161874e-12
1969,"National Average","Per Capita ($)","Adjusted Balance",-2.80270385556809e-14
1969,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-2.24216308445447e-13
1969,"National Average","Real Total ($ M 2020)","Adjusted Balance",-3.97903932025656e-12
1969,"National Average","Share of GDP (%)","Adjusted Balance",-5.91226394542622e-18
1969,"National Average","Total ($ M)","Adjusted Balance",-5.18696197104873e-13
1970,"National Average","Per Capita ($)","Adjusted Balance",-3.19884180420979e-15
1970,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-8.70084970745064e-15
1970,"National Average","Real Total ($ M 2020)","Adjusted Balance",1.08357767203415e-13
1970,"National Average","Share of GDP (%)","Adjusted Balance",-6.43359880263576e-19
1970,"National Average","Total ($ M)","Adjusted Balance",-5.6843418860808e-14
1971,"National Average","Per Capita ($)","Adjusted Balance",-5.66518048978968e-14
1971,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-3.59126061458012e-13
1971,"National Average","Real Total ($ M 2020)","Adjusted Balance",-8.86757334228605e-12
1971,"National Average","Share of GDP (%)","Adjusted Balance",-1.33379209496259e-17
1971,"National Average","Total ($ M)","Adjusted Balance",-1.28608235172578e-12
1972,"National Average","Per Capita ($)","Adjusted Balance",3.92968187629365e-15
1972,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-5.2395758350582e-15
1972,"National Average","Real Total ($ M 2020)","Adjusted Balance",-1.53477230924182e-12
1972,"National Average","Share of GDP (%)","Adjusted Balance",-5.24380945386187e-19
1972,"National Average","Total ($ M)","Adjusted Balance",-1.13686837721616e-13
1973,"National Average","Per Capita ($)","Adjusted Balance",9.05783536788293e-15
1973,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-1.03518118490091e-13
1973,"National Average","Real Total ($ M 2020)","Adjusted Balance",2.61479726759717e-12
1973,"National Average","Share of GDP (%)","Adjusted Balance",2.34489654835301e-18
1973,"National Average","Total ($ M)","Adjusted Balance",2.1316282072803e-13
